</s>
是_v	并非_v
保证_v	运转_v 确保_v
党员_n	中心户_n 团干部_n 干部_n 老干部_n 共产党员_n 联户_n 党组织_n 支部_n 基层_n
村民_n	全村_n 自然村_n 村子_n 田地_n 村里_n 人家_n 牧民_n 村委_n 村里人_n 镇里_n 邻村_n 羊圈_n 玉米地_n
考试_v	面试_v 开考_v 笔试_v
加大_v	狠抓_v 加强_v 管控_v 完善_v 扶持_v 强化_v
人才_n	专业型_n 专才_n 技能型_n 高层次_n 人才库_n 孵化器_n 订单式_n
正常_a	超负荷_a
一般_a	少_a 适中_a
全_a
用户_n	３Ｇ手机_n ３Ｇ_n Ｗｉ－Ｆｉ_n 客户端_n ２Ｇ_n 网卡_n 搜索引擎_n 预付费_n
上半年_t	二季度_t 年初_t 一季度_t 下半年_t 今年前_t 单月_t 今年_t
事业_n	全人类_n 成就_n 社会_n
面积_n	总用地_n 蓄积量_n 绿化率_n 套型_n 绿地率_n 平米_n 总面积_n
资产_n	收益权_n 债权_n 关联方_n 账面_n 负债表_n 股权_n
重庆_ns	西安_ns 成都_ns 四川_ns 安徽_ns 南昌_ns 天津_ns 宁波_ns 江西_ns 武汉_ns 湖北_ns
工业_n	林产_n 轻工_n 总产值_n 产值_n 纺织_n 重工业_n 轻工业_n 化工_n 建筑业_n 产业_n 制造业_n
西班牙_ns	希腊_ns 葡萄牙_ns 克罗地亚_ns 英格兰_ns 爱尔兰_ns 意大利_ns 德国_ns 荷兰_ns
合同_n	违约金_n 协议_n 合同期_n 条款_n 合同书_n 协议书_n
宣布_v	决定_v 定于_v
训练_v	备战_v 热身_v 集训_v 练习_v
道路_n	主道_n 立交桥_n 辅道_n 路段_n 公路_n 匝道_n 二环路_n 县道_n 主干道_n 干道_n 路面_n 便道_n
作品_n	创作者_n 画集_n 油画_n 版画_n 水彩画_n 连环画_n 作品集_n 佳作_n 国画_n
儿童_n	自闭症_n 成人_n 残疾_n 智障_n 孤残_n 患儿_n
执法_v	稽查_v 协勤_v
在_v	过_v 眼看_v 剩下_v
土地_n	使用权证_n 林地_n 农用地_n 耕地_n 宅基地_n 用地_n
节目_n	主持人_n 综艺_n
强调_v	重申_v 指出_v 重视_v
人民币_n	英镑_n 港币_n 交易价_n 卢比_n 现钞_n 金额_n 新元_n 卢布_n 日元_n 外币_n 港元_n
投入_v	筹措_v 用於_v 自筹_v 拨付_v 筹集_v 配套_v
公告_n	申报稿_n 提示性_n
人口_n	总人口_n 城镇化率_n 出生率_n 人口数_n 生育率_n 性别比_n 劳动力_n
采用_v	模块化_v 设计_v
效果_n	延展性_n 疗效_n
程度_n	因素_n 差别_n 差异_n
女子_n	花剑_n 混合泳_n 跳台_n 男子_n 标枪_n 蝶泳_n 链球_n 中长跑_n 铅球_n 气手枪_n
小区_n	顶楼_n 楼栋_n 单元门_n 居民楼_n 楼房_n 楼道_n 车库_n 住户_n 家属院_n 单元楼_n
办理_v	登记_v 补办_v 注销_v 办证_v 过户_v 填表_v
特色_n	文化_n 茶文化_n 传统_n 产业带_n 名镇_n 内涵_n 菜系_n
过_v	过过_v 苦_v 累_v 眼看_v
近期_t	本周_t 前半年_t 上周_t 上旬_t 下半年_t 上周末_t
获悉_v
确定_v	决定_v 备选_v 拟定_v 选定_v
图_n	标题_n 图据_n 资料_n 照片_n 图片_n 示意图_n 左图_n
广大_a	热忱_a 踊跃_a 热情_a
医生_n	病情_n 病人_n 患者_n 主治医生_n
司机_n	的哥_n 收费员_n 大客车_n 驾驶员_n 出租车_n 公交车_n 的士_n 乘客_n
指数_n	总指数_n 涨幅_n 终值_n 跌幅_n 全周_n
容易_a	易_a 不易_a
电子_n	软件_n 阅读器_n 终端_n 服务商_n 交换机_n
整体_n	整体性_n 总体_n
公安_n	网监_n 支队_n 大队_n 刑警_n 高新分局_n 分局_n 机关_n 公安局_n
话_n	好话_n 意思_n
详细_a	详尽_a ＞＞_a
老人_n	老人家_n 奶奶_n 老伴_n 老两口_n 老奶奶_n
身体_n	生理_n 机能_n 睡姿_n 肺活量_n
问_v	苦笑_v 答道_v 说说_v 问问_v 回答_v 开玩笑_v 知道_v 反问_v
职位_n	简介_n 名称_n 综合处_n 财务处_n 科员_n 代码_n
事情_n	想法_n 事儿_n 事_n
欧洲_ns	东欧_ns 芬兰_ns 希腊_ns 巴西_ns 西班牙_ns 意大利_ns 德国_ns 南欧_ns 亚洲_ns 法国_ns
游客_n	景点_n 散客_n 游人_n 自助游_n 旅游团_n 旅游者_n 目的地_n 观光客_n
结构_n	要素_n 驱动型_n 产业_n 布局_n
完善_v	建立_v 规范_v 制定_v 健全_v 衔接_v 制订_v 强化_v 推行_v
困难_a	贫困_a
职业_n	技能_n 技工_n
选手_n	球手_n 团体赛_n 单打_n 选拔赛_n 资格赛_n
喜欢_v	唱歌_v 觉得_v 习惯_v 讨厌_v 爱上_v
运行_v	巡检_v 重载_v 遥测_v 运转_v 联调_v
晚报_n	日报_n 晨报_n
高考_v	填报_v 发榜_v 中考_v 联招_v 放榜_v 考_v 录取_v
德国_ns	奥地利_ns 比利时_ns 意大利_ns 瑞典_ns 法国_ns 荷兰_ns 波兰_ns
见_v	扭头_v 不知_v 看_v 叫_v
新华网_n	云网_n 中工网_n 来源_n 作者_n 西部网_n 南方网_n 东方网_n 千龙网_n
费用_n	材料费_n 交通费_n 差旅费_n 药费_n 咨询费_n 保险费用_n 住院费_n 全额_n 检查费_n 路桥费_n
利益_n	公义_n 维护者_n 私利_n 相关者_n 既得利益_n 生存权_n
进_v
转_v
穿_v
知识_n	普及性_n
就业_v	下岗_v 返乡_v 求职_v 输转_v 务工_v 吸纳_v 失业_v
实际_a	具体_a
儿子_n	姑姑_n 儿媳妇_n 弟弟_n 父亲_n 哥哥_n 母亲_n 爸爸_n 小儿子_n 女儿_n 孙女_n 妹妹_n 奶奶_n 大儿子_n 儿媳_n 姐姐_n 丈夫_n 妻子_n
普通_a
农民_n	社员_n 纯收入_n 茶农_n 全村_n 农户_n 林农_n 全乡_n 烟农_n
申请_v	不予_v 递交_v 备案_v 申报_v 提交_v 办理_v
人数_n	计划数_n 专科生_n
房_n	房子_n 限价房_n 新房_n 经适房_n 住房_n 公租房_n 现房_n
打造_v	高端化_v 依托_v 融合_v 精品化_v 倾力_v
力度_n	合力_n 措施_n
女性_n	男性_n 性征_n 乳房_n 女性性_n
扩大_v	有利於_v 拓展_v 促进_v 加大_v 便利化_v 推动_v
因素_n	不确定性_n 变量_n 程度_n
市委_n	区委_n 常委_n 代市长_n 省委_n
没_v	再说_v 心想_v 想_v 没用_v 弄_v 想想_v 知道_v 怕_v
住房_n	保障房_n 公积金_n 限价房_n 保障性_n 房_n 商品房_n 中小户型_n 租赁房_n 公租房_n 廉租房_n 安居工程_n
南京_ns	杭州_ns 扬州_ns 苏州_ns 西安_ns 成都_ns 徐州_ns 福州_ns 南昌_ns 合肥_ns 济南_ns 武汉_ns 郑州_ns
协会_n	总会_n 理事长_n 电影家_n 分会_n 联合会_n 年会_n 会长_n 曲艺家_n 研究会_n 理事_n 美术家_n 商会_n 学会_n
广东_ns	浙江_ns 江西_ns 湖北_ns 吉林_ns 安徽_ns 云南_ns 福建_ns 江苏_ns 贵州_ns 广西_ns 湖南_ns 辽宁_ns
迅速_a	紧急_a
形式_n	幻灯片_n
艺术_n	篆刻_n 中国画_n 剪纸_n 古琴_n 书法_n 绘画_n
起_v	补_v
办_v	办到_v 结制_v
类_n	管理类_n 医学类_n 学类_n 法学类_n 工程类_n 音乐类_n 旅游类_n 卫生类_n 财经类_n 机械类_n
公开_a
建_v	翻建_v 兴建_v 改建_v 择址_v 扩_v 修建_v 修葺_v
享受_v	超值_v 乐享_v 尊享_v 免费_v 购车_v
对手_n
符合_v	根据_v 准入_v 规定_v
出席_v	讲话_v 致辞_v 应邀_v 会见_v 主持_v
比例_n	比率_n 之和_n 流失率_n
商业_n	业态_n 客户群_n 综合体_n
现象_n	根源_n 乱象_n 顽疾_n 成因_n
严格_a
写_v	动笔_v
降低_v	增加_v 减轻_v 减低_v 减少_v 增高_v 升高_v
下_v	顶_v 滚_v 蹚_v 歇_v 冲_v 趟_v 眼看_v
女儿_n	姑姑_n 儿子_n 爸爸_n 弟弟_n 父亲_n 哥哥_n 母亲_n 妈妈_n 小儿子_n 孙女_n 妹妹_n 大儿子_n 姐姐_n 丈夫_n 父母_n 妻子_n
股_n	金融股_n 创业板_n 发行价_n 个股_n 破净股_n ＳＴ股_n 次新股_n 大盘股_n 股票_n 新股_n
贷款_n	信贷_n 小额_n 额度_n 贷款人_n 贴息_n 借款人_n 贷款额_n 低息_n 单户_n
卫生_a	托幼_a 公共_a
违法_v	违规_v 涉证_v 查纠_v 取缔_v 查处_v 违纪_v 严查_v 严惩_v 违章_v
总统_n	总理_n 众议长_n
深圳_ns	杭州_ns 肇庆_ns 汕头_ns 上海_ns 东莞_ns 广州_ns 惠州_ns 珠海_ns 宁波_ns
店_n	店面_n 顾客_n
最低_a
球迷_n	太太团_n 看台_n 嘘声_n 球场_n 波兰人_n 欧洲杯_n 西班牙人_n
通讯员_n	海口_n 实习生_n
大型_a	小型_a 超大型_a
面临_v	挑战_v 陷入_v
坐_v	站_v 起身_v 就坐_v 坐下_v 小跑_v 张望_v 趴_v
欧洲杯_nz
过去_t	现在_t
找到_v	打听_v 寻找_v 找_v 找寻_v 得知_v
能源_n	光伏_n 煤层气_n 分布式_n 风电_n 煤化工_n 天然气_n 煤制_n 页岩气_n
认真_a	深入_a 负责_a
法国_ns	奥地利_ns 比利时_ns 意大利_ns 德国_ns 瑞典_ns 南非_ns 荷兰_ns
职工_n	工龄_n 员工_n 企业经营者_n 农民工_n 工资_n 劳动者_n
核心_n	基石_n 增长极_n 地位_n
意大利_ns	葡萄牙_ns 英格兰_ns 爱尔兰_ns 西班牙_ns 瑞典_ns 法国_ns 荷兰_ns 德国_ns
限制_v
跑_v	狂奔_v 冲_v 小跑_v 大喊_v 撵_v 喊_v 拉_v 撒腿_v
制定_v	细化_v 修订_v 实施_v 明确_v 拟定_v 制订_v 废止_v 草拟_v 完善_v 出台_v 颁布_v
患者_n	急症_n 病人_n 病患_n 病症_n 危重症_n
开放_v	改革_v
建议_v	不宜_v 提醒_v 应_v 支招_v
数量_n	数_n 比率_n 总量_n 绝大部分_n
接_v	赶_v 转身_v
成员_n	主席_n 大会党_n 召集人_n 秘书长_n 理事会_n 全体_n 秘书处_n 委员会_n 代表_n
科学_n	基础科学_n 总纲_n 生态学_n 人才观_n 科学技术_n 理论_n
苹果_n	禁售令_n Ｔａｂ_n 三星_n 谷歌_n 黑莓_n
突然_a
意义_n	里程碑_n 开创性_n 涵义_n
支付_v	缴纳_v 返还_v 付_v 结清_v 代付_v 预付_v
生态_n	人居_n 廊道_n 绿心_n 生态林_n 湿地_n 生态型_n 红树林_n 生态区_n 环境_n 示范带_n
工资_n	加班费_n 薪酬_n 报酬_n 工龄_n 月薪_n 指导线_n 替代率_n 高温费_n 月工资_n 职工_n 时薪_n
省委_n	市委_n 常委_n 代省长_n 省政府_n
韩国_ns	加拿大_ns 印尼_ns 泰国_ns 俄罗斯_ns 马来西亚_ns 新加坡_ns 澳大利亚_ns 印度尼西亚_ns 日本_ns 美国_ns 印度_ns
拍_v	拍摄_v 照_v
改变_v	摆脱_v 无异_v 摒弃_v 依赖_v 失去_v
规划_n	全域_n 纲要_n 修建性_n
力量_n	合力_n
免费_v	预约_v 方便_v 享受_v 借阅_v
作_v	发言_v 总结_v 强调_v
增强_v	有利于_v 提高_v 树立_v 有利於_v 注重_v 激发_v 强化_v 提升_v
学院_n	历史系_n 农学院_n 文学院_n 政治系_n 法学院_n 艺术系_n 经济系_n 哲学系_n 理工大学_n 数学系_n 大学_n 中文系_n 师范大学_n 法律系_n
放_v	倒入_v 擀_v 晾_v 塞_v 夹_v
现代_t
论坛_n	两岸_n 恳谈会_n 研讨会_n 海峡_n 合唱节_n 交流会_n
消防_a
掉_v	坏_v 放_v 钉_v 塞_v 吞_v 烂_v 剩下_v
升级_v	高端化_v 集群化_v 转型_v 优化_v
方法_n	原理_n 疗法_n
暴雨_n	冰雹_n 雷电_n 洪涝_n 降水_n 局地_n 大暴雨_n 大雨_n 风雹_n
吸引_v	观展_v 喜爱_v 追捧_v 青睐_v 引得_v
最新_a
年龄_n	男性_n 性别_n 年龄段_n 身高_n 年龄组_n 退休制_n 退休者_n
重视_v	要_v 强调_v 加强_v
明确_a
协议_n	意向书_n 合同_n 协定_n 备忘录_n 事宜_n 框架_n 合同书_n 意向性_n 协议书_n
时代_n	潮头_n 发展史_n
预期_v	回升_v 下滑_v
近年来_id	大有可为_id 长期以来_id
照片_n	靓照_n 合影_n 生活照_n 旧照_n 相册_n 头像_n 拍摄者_n 相片_n
停_v	驶_v 掉头_v 拖_v 砰_v 停下_v 停住_v 撞_v
状况_n	状态_n 身体_n 环境_n 现状_n
指导_v	工作_v 制订_v 督导_v 宣贯_v 结合_v 落实_v
危机_n	次贷_n 债务_n 欧元区_n 泥沼_n 全球性_n 债_n
出台_v	试行_v 修订_v 实施_v 颁布_v 废止_v 制定_v 施行_v 微调_v
竞争_v	垄断_v 同质化_v 抗衡_v 占据_v 抢占_v 白热化_v
部分_n	用途_n 大於_n 差异_n
北京市_ns
男_a	女_a
位置_n	箭头_n 后腰_n
方向_n	东方向_n 红绿灯_n 快车道_n
维护_v	事关_v 捍卫_v 关系_v 保卫_v
得_v
股份_n	药业_n ＳＺ_n 有限公司_n 纸业_n ＳＨ_n 实业_n 子公司_n
电视_n	鉴宝类_n 电视机_n 短片_n 演播厅_n 总台_n 节目_n
资料_n	图_n 图文_n 图片_n
展示_v	展演_v 展览_v 展现_v 荟萃_v
大会_n	筹备会_n 与会者_n 年会_n 全体_n 会议_n 执委会_n 闭幕会_n 主席团_n
父亲_n	姑姑_n 儿子_n 奶奶_n 弟弟_n 哥哥_n 母亲_n 小儿子_n 女儿_n 妹妹_n 大儿子_n 姐姐_n 丈夫_n 父母_n 妻子_n
改善_v	有利於_v 缓解_v 使_v 有利于_v 促进_v
故事_n	原著_n 小说_n 剧情_n
队伍_n
形势_n	局面_n 情势_n 宏观_n 航运业_n 严峻性_n
远_a	近_a
优秀_a	杰出_a
收费_v	计费_v 交费_v 收取_v 涉企_v
恢复_v	中断_v 维持_v 运转_v 封闭_v
父母_n	儿子_n 父亲_n 长辈_n 女儿_n 父母亲_n 孩子_n 双亲_n 母亲_n
主动_a	积极_a
疾病_n	胃肠病_n 糖尿病_n 并发症_n 心脑血管病_n 心血管_n 高血压_n 病症_n
创造_v	成就_v
改造_v	整修_v 改建_v 截污_v 迁建_v 扩建_v
官员_n	外交官_n 新闻部长_n 军方_n 中情局_n 高官_n
比如_v	缺少_v 适合_v 局限_v
仪式_n	主会场_n 典礼_n 致词_n 开幕式_n 庆典_n
实力_n	对手_n 优势_n 统治力_n
发行_v	增发_v 募集_v 募资_v 认购_v
出口_v	进出口_v 进口_v 创汇_v
嫌疑人_n	刑拘_n 案犯_n 疑犯_n 团伙_n 逃犯_n 嫌犯_n
体验_v	畅享_v 领略_v 畅玩_v
生命_n	救助者_n 危难_n
机场_n	航班_n 班机_n 新机场_n 候机楼_n 航站楼_n
拍摄_v	取景_v 拍_v
资本_n	民间_n 民资_n 电信业_n
货币_n	银根_n 币值_n 流动性_n 本币_n 债市_n 债券_n
对接_v	手控_v 交会_v
收_v	涨_v 收取_v
玩家_n	修真者_n 老玩家_n 玩法_n 副本_n 龙刃_n
年轻_a
母亲_n	姑姑_n 儿子_n 奶奶_n 弟弟_n 父亲_n 哥哥_n 小儿子_n 女儿_n 妹妹_n 大儿子_n 姐姐_n 丈夫_n 父母_n 妻子_n
对方_n
施工_v	打桩_v 铺设_v 开挖_v 支护_v 围护_v
提醒_v	当心_v 支招_v 留心_v 留意_v 小心_v 建议_v 轻信_v
材料_n	基材_n 合金_n 工艺_n 树脂_n 原辅_n 纸张_n
即_v	若_v 为_v 区分_v 包含_v 设定_v 划分_v
咨询_v	拨打_v 预约_v 解答_v 垂询_v
运动_v	跑步_v
配置_v	酷派_v 配备_v 选装_v 标配_v
员工_n	保安员_n 企业管理者_n 雇员_n 工人_n 职员_n 雇主_n 职工_n
民间_n	文艺家_n 民资_n 陆资_n 资本_n
叫_v	没事_v 认得_v 喊_v 摇摇头_v 念叨_v 哭_v 走开_v
办公室_n	综合处_n 业务处_n 民防局_n 宣传处_n 财务处_n 人事处_n 秘书_n 组长_n 调研员_n 专员_n
体现_v	展现_v 彰显_v 诠释_v 契合_v 富有_v 凝练_v 赋予_v
足球_n	友谊赛_n 足坛_n 五人制_n 男足_n 足球队_n
形象_n	气质_n 心目_n 代言人_n
晚上_t	五点_t 早晨_t 两三点_t 中午_t 九点_t 八点_t 早上_t 夜里_t 十二点_t 一早_t 七点_t 六点_t
谈_v	坦言_v 问_v 问及_v 直言_v 谈论_v 谈谈_v
操作_v	换档_v 切换_v
原_a	正局级_a
贸易_v	进出口_v 自由化_v 出口_v 便利化_v
拉_v	拖_v 使劲_v 跳_v 拽_v 冲_v 跑_v 小跑_v 抬_v
合理_a	科学_a 适当_a
鼓励_v	引导_v 支持_v 扶植_v 创业_v 扶持_v 激励_v 兴办_v
原则_n	权责_n 民主集中制_n 责权_n 原则性_n
山东_ns	宁夏_ns 河北_ns 江苏_ns 山西_ns 安徽_ns 陕西_ns 广东_ns 湖南_ns 浙江_ns 贵州_ns 江西_ns 黑龙江_ns 湖北_ns 辽宁_ns 吉林_ns
退休_v	计发_v 延迟_v 返聘_v 退职_v 延至_v
巨大_a	大_a 沉重_a 潜在_a 极大_a
录取_v	补录_v 降分_v 填报_v 招生_v 退档_v 投档_v 统招_v 出档_v 选报_v
该_v	清楚_v 怀疑_v 支支吾吾_v
速度_n	直线_n 速率_n 球速_n 中速_n
小组_n	组长_n 组_n
换_v	换上_v
时期_n	新民主主义革命_n 历史_n
建筑_n	地标性_n 建筑物_n 构筑物_n 徽派_n 立面_n 筑物_n 建筑群_n 外立面_n 古建筑_n 风貌区_n
相信_v	确信_v 渴望_v 希望_v 坚信_v 期待_v
凌晨_t	早晨_t 深夜_t 中午_t 上午_t 傍晚_t 晚上_t 清晨_t 前天_t 早上_t 次日_t 下午_t
突破_v
教师_n	学生_n 特岗_n 大学生_n 教研员_n 辅导员_n
动力_n	总成_n 引擎_n
离开_v	回到_v 离去_v
提前_v	补录_v 原定_v 联招_v 补报_v 报到_v 录取_v
公众_n	舆论场_n 善意_n 舆论_n
年度_n	预算_n 损益_n 总收入_n
分_v	排定_v
超_v
丰富_a	天然_a
收益_n	财产品_n 年收益_n 票息_n 货币型_n 收益率_n 回报率_n 收益型_n 收益额_n 货基_n
酒店_n	大酒店_n 西餐厅_n 饭店_n 餐厅_n 宾馆_n 会所_n 客房_n
含_v
决赛_v	卫冕_v 晋级_v
建议_n	提案人_n 对策_n 送审稿_n 意见_n 提案_n
两岸_n	海峡_n 文化界_n 两地_n 合作会_n
运营_v	固网_v
身份_n	名单_n 住址_n 身分_n 遇难者_n
商品_n	进口商品_n 货品_n 类目_n 价格_n 日用百货_n
系列_n	主打_n 限量版_n 纪念版_n 经典_n 首款_n 表款_n 特别版_n
青年_n	才俊_n 音乐家_n 团员_n 文明号_n 电影展_n 社团_n 企业家_n 少年_n 舞蹈家_n 合唱团_n 艺术工作者_n
思想_n	学风_n 集体主义_n 修养_n 党性_n
报道_n	消息_n 美媒_n 日媒_n 刊文_n 媒体_n 独立报_n
湖南_ns	浙江_ns 江苏_ns 四川_ns 安徽_ns 陕西_ns 贵州_ns 云南_ns 福建_ns 广东_ns 江西_ns 黑龙江_ns 湖北_ns 辽宁_ns 山东_ns 吉林_ns
玩_v	玩乐_v 玩玩_v 打打_v 玩儿_v 尽兴_v
顺利_a	成功_a 圆满_a
受伤_v	遇难_v 丧生_v 死伤_v 窒息_v 死亡_v
官方_n	剧星_n 消息_n 微博＠_n
短_a	短信_a 长_a
铁路_n	龙厦_n 客专_n
听_v	小声_v 摆手_v 说话_v 听听_v
民族_n	文化_n 宗教_n 少数民族_n 传承者_n
满足_v	兼顾_v 多样化_v 迎合_v
需_v	可_v
指_v
规划_v	选址_v 配套_v 修编_v 拟建_v 建设_v
前往_v	抵达_v 奔赴_v 赴_v 到达_v 起程_v 驱车_v 搭乘_v 启程_v 乘船_v 开赴_v 转道_v
死_v	伤_v 自杀_v 丧命_v
上升_v	下降_v 猛增_v 攀升_v 回落_v 高于_v 收窄_v 微升_v 高於_v 下滑_v
设立_v	组建_v 派驻_v 筹建_v 成立_v 设_v 开办_v
视频_n	音视频_n 音频_n 分享网站_n 录像_n
累计_v	比增_v 合计_v 总计_v
妻子_n	弟弟_n 儿子_n 前夫_n 父亲_n 哥哥_n 母亲_n 前妻_n 夫妇_n 女儿_n 妹妹_n 儿媳_n 姐姐_n 丈夫_n 老婆_n 家人_n 弟媳_n
金额_n	数额_n 款项_n 人民币_n 增值率_n 额度_n 净额_n 总额_n
移动_v
限_v
局长_n	司长_n 巡视员_n 厅长_n 党组_n 区长_n 部长_n 经委_n 主任_n 处长_n 调研员_n
接到_v	求助_v 拨打_v 赶到_v 报案_v 称有_v 接报_v 报警_v 拨通_v 赶往_v 求救_v 接警_v
航空_n	货机_n 民航_n 空中客车_n
专项_a	集中_a
公园_n	湿地_n 郊野_n 风景区_n 活动区_n 景观带_n 园博园_n 水景_n 景观_n
著名_a	国宝级_a
电脑_n	键盘_n 台式机_n 显示器_n 笔记本_n 打印机_n
浙江_ns	江苏_ns 吉林_ns 安徽_ns 湖北_ns 广东_ns 福建_ns 宁波_ns 江西_ns 黑龙江_ns 湖南_ns 辽宁_ns 山东_ns
节能_v	补贴_v 节电_v 减排_v 降耗_v
遇到_v
代码_n	科员_n 简介_n 名称_n 职位_n 类别_n
目的_n	核武器_n 实质_n 於_n 原意_n
民众_n	当局_n 百姓_n
广告_n	色情_n 广告商_n 低俗_n 广告主_n 短片_n
心理_n	生理_n 身心_n 咨询师_n 逆反心理_n
真_a	好笑_a
赛季_n	意甲_n
报_n	楚天_n
程序_n	文书_n 时限_n 程序性_n 流程_n 事项_n
确实_a	显然_a 什麽_a
避免_v	阻碍_v 应_v 消除_v 防止_v 导致_v
大学生_n	学生_n 教师_n 官_n 村_n 村官_n 志愿者_n
制造_v	研发_v 组装_v
队员_n	队长_n 训练场_n 队友_n 教练_n
驻_v	驻外_v 驻华_v
通过_v	表决_v 审议_v 提交_v
态度_n
制作_v	剪辑_v 自制_v
派出所_n	分局_n 民警_n 高新分局_n 刑警_n 刑警队_n
意识_n	自觉性_n 观念_n 法纪_n 忧患_n 责任感_n
妈妈_n	儿子_n 奶奶_n 父亲_n 姥姥_n 母亲_n 姐姐_n 女儿_n 孙女_n 爸妈_n 爸爸_n
强化_v	狠抓_v 加强_v 并重_v 管控_v 完善_v 防控_v
心_n	杂念_n 人心_n 心底_n 情_n
监测_v	ＰＭ_v 测报_v
处_n	山崖_n 铁路桥_n 豁口_n
毕业_v	深造_v 读研_v 考入_v 任教_v 就读_v 考上_v 攻读_v
简单_a	单调_a 简简单单_a 恰当_a
养老_v	医保_v 失业_v
乘客_n	售票员_n 车厢_n 乘务员_n 驾驶员_n 公交车_n 司机_n 的士_n 月台_n
房屋_n	公房_n 农房_n 附着物_n 产权证_n 棚圈_n 楼房_n 民房_n 宅基地_n
先进_a	优秀_a 知识型_a 数控_a 一流_a
站_v	站住_v 起身_v 小跑_v 只见_v 喊_v 坐_v
股票_n	股_n 浮亏_n 重仓_n 港股_n 牛股_n
解释_v	说_v 回答_v 举例_v
街道_n	镇_n 办事处_n 乡镇_n
深入_a	认真_a
抓_v	狠抓_v 下功夫_v 抓住_v 打基础_v
垃圾_n	垃圾箱_n 收集点_n 填埋场_n 中转站_n 餐厨_n 处理场_n 废弃物_n 转运站_n 厨余_n
感受_v	置身_v 体会_v 体味_v 体悟_v 领略_v 品味_v
应急_v	抢险_v 防台_v 排渍_v 调度_v 救灾_v 防汛_v
引导_v	激发_v 调动_v 鼓励_v 拓宽_v 扶持_v 倡导_v 激励_v 吸纳_v
武汉_ns	杭州_ns 南京_ns 福州_ns 西安_ns 青岛_ns 南昌_ns 长沙_ns 合肥_ns 宜昌_ns 重庆_ns 成都_ns 昆明_ns 郑州_ns
飞行_v	出舱_v 变轨_v 升空_v 在轨_v 驻留_v
音乐_n	歌剧_n 戏剧_n 演奏者_n 舞蹈_n 创作人_n 现代舞_n 摇滚乐_n 交响乐_n 歌曲_n
说明_v	并非_v 表述_v
喝_v	喝喝_v 饮_v 吃_v
图片_n	ＰＤＦ_n 图_n 图据_n 资料_n 图文_n
下跌_v	收高_v 跌_v 转跌_v 收跌_v 下挫_v 微跌_v 微涨_v 暴跌_v
